Name complex,Geo,State of house,Rooms amount,"Squares,м²",Metro,"Time to metro,мин.","Price,₽",Data
ЖК «Созидатели»,"Санкт-Петербург, р-н Адмиралтейский, Измайловское, 12-я Красноармейская ул., 26",Новостройка,3-комн. квартира,104 ,Балтийская,9 ,31 990 000 ,12.10
"ЖК «Московский, 65»","Санкт-Петербург, р-н Адмиралтейский, Измайловское, наб. Обводного Канала, 106",Новостройка,3-комн. квартира,"126,42 ",Фрунзенская,2 ,45 990 000 ,15.10
ЖК «Созидатели»,"Санкт-Петербург, р-н Адмиралтейский, Измайловское, 12-я Красноармейская ул., 26",Новостройка,1-комн. квартира,39 ,Балтийская,9 ,16 500 001 ,28.09
ЖК «Клубный дом MELTZER HALL (МЕЛЬЦЕР ХОЛЛ)»,"Санкт-Петербург, р-н Петроградский, Аптекарский остров, наб. Реки Карповки, 27",Новостройка,1-комн. квартира,"46,8 ",Петроградская,5 ,21 000 000 ,13.10
ЖК «Созидатели»,"Санкт-Петербург, р-н Адмиралтейский, Измайловское, 12-я Красноармейская ул., 26",Новостройка,2-комн. квартира,"77,5 ",Балтийская,9 ,28 994 115 ,14.10
ЖК «Чистое небо»,"Санкт-Петербург, р-н Приморский, Коломяги, просп. Авиаконструкторов, 69",Новостройка,Студия,"25,13 ",Комендантский проспект,11 ,5 300 000 ,13.10
ЖК «Шкиперский 19»,"Санкт-Петербург, р-н Василеостровский, Гавань, Шкиперский 19 жилой комплекс, 1",Новостройка,Студия,"28,7 ",Приморская,4 ,8 843 388 ,14.10
ЖК «FoRest Аквилон (Форест Аквилон)»,"Санкт-Петербург, р-н Приморский, Юнтолово, Глухарская ул.",Новостройка,Студия,"24,1 ",Удельная,10 ,4 300 000 ,23.09
ЖК «Шкиперский 19»,"Санкт-Петербург, р-н Василеостровский, Гавань, Шкиперский 19 жилой комплекс, 1",Новостройка,1-комн. квартира,"35,4 ",Приморская,4 ,10 887 907 ,14.10
ЖК «ЦДС Черная речка»,"Санкт-Петербург, р-н Приморский, Чёрная речка, Белоостровская ул.",Новостройка,1-комн. квартира,"38,93 ",Лесная,15 ,9 700 000 ,11.10
ЖК «Шкиперский 19»,"Санкт-Петербург, р-н Василеостровский, Гавань, Шкиперский 19 жилой комплекс, 1",Новостройка,2-комн. квартира,"59,2 ",Приморская,4 ,16 143 484 ,14.10
ЖК «ЦДС Dreamline (Дримлайн)»,"Санкт-Петербург, р-н Приморский, Коломяги, Парашютная ул.",Новостройка,Студия,"23,22 ",Озерки,7 ,5 600 000 ,24.09
ЖК «Futurist (Футурист)»,"Санкт-Петербург, р-н Петроградский, Чкаловское, Барочная ул., 6",Новостройка,1-комн. квартира,"53,3 ",Чкаловская,10 ,30 132 838 ,11.10
ЖК «ID Moskovskiy (Ай ди Московский)»,"Санкт-Петербург, р-н Московский, Московская застава, Московский просп.",Новостройка,1-комн. квартира,"41,3 ",Фрунзенская,2 ,16 450 000 ,15.10
